"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 12:42:45 GMT 2022","Thu Mar 17 12:42:46 GMT 2022","386","chromium","ui.playground.spec.js","Login UI tests","","","Logout",""
"passed","Thu Mar 17 12:42:45 GMT 2022","Thu Mar 17 12:42:45 GMT 2022","317","chromium","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 12:42:47 GMT 2022","Thu Mar 17 12:42:49 GMT 2022","2132","firefox","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 12:42:41 GMT 2022","Thu Mar 17 12:42:42 GMT 2022","50","API tests","api.petStore.spec.js","Pet store API tests","","","Update existing pet",""
"passed","Thu Mar 17 12:42:55 GMT 2022","Thu Mar 17 12:42:56 GMT 2022","686","webkit","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 12:42:53 GMT 2022","Thu Mar 17 12:42:55 GMT 2022","2301","webkit","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 12:42:56 GMT 2022","Thu Mar 17 12:42:57 GMT 2022","579","webkit","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
"passed","Thu Mar 17 12:42:44 GMT 2022","Thu Mar 17 12:42:45 GMT 2022","626","chromium","ui.playground.spec.js","Login UI tests","","","Valid login",""
"passed","Thu Mar 17 12:42:41 GMT 2022","Thu Mar 17 12:42:41 GMT 2022","47","API tests","api.petStore.spec.js","Pet store API tests","","","Find Pet by id",""
"passed","Thu Mar 17 12:42:49 GMT 2022","Thu Mar 17 12:42:50 GMT 2022","619","firefox","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 12:42:45 GMT 2022","Thu Mar 17 12:42:45 GMT 2022","308","chromium","ui.playground.spec.js","Login UI tests","","","Empty fields validation",""
"passed","Thu Mar 17 12:42:42 GMT 2022","Thu Mar 17 12:42:42 GMT 2022","48","API tests","api.petStore.spec.js","Pet store API tests","","","Delete Pet by id",""
"passed","Thu Mar 17 12:42:57 GMT 2022","Thu Mar 17 12:42:57 GMT 2022","706","webkit","ui.playground.spec.js","Login UI tests","","","Logout",""
"passed","Thu Mar 17 12:42:50 GMT 2022","Thu Mar 17 12:42:51 GMT 2022","813","firefox","ui.playground.spec.js","Login UI tests","","","Logout",""
"passed","Thu Mar 17 12:42:50 GMT 2022","Thu Mar 17 12:42:50 GMT 2022","723","firefox","ui.playground.spec.js","Login UI tests","","","Wrong credentials validation",""
